ID,Season,AFRAM,ASIAM,CAU,LAT,OTH,MALE,FEM,>18,18-24,25-34,35-49,50-64,65 or older,"25,000","25,000-49,000","50,000-74,000","75,000-99,000","100,000-149,000","150,000<",HSL,SC,CC,SGS,CGS,VD,WHT,BLK,ASN,HSP,MRO
Billy Elliot,20082009,2,0,48,1,0,33.8,66.2,10,11.5,15.8,24.6,26.4,11.7,8.7,9.2,12.2,13,19.6,37.4,8.8,11.8,30.1,7.4,35.9,6,73.7,2.4,3.9,8.6,11.4
next to normal,20082009,0,0,10,0,0,33.8,66.2,10,11.5,15.8,24.6,26.4,11.7,8.7,9.2,12.2,13,19.6,37.4,8.8,11.8,30.1,7.4,35.9,6,73.7,2.4,3.9,8.6,11.4
shrek,20082009,4,1,25,1,0,33.8,66.2,10,11.5,15.8,24.6,26.4,11.7,8.7,9.2,12.2,13,19.6,37.4,8.8,11.8,30.1,7.4,35.9,6,73.7,2.4,3.9,8.6,11.4
guys and dolls,20082009,4,0,24,3,0,33.8,66.2,10,11.5,15.8,24.6,26.4,11.7,8.7,9.2,12.2,13,19.6,37.4,8.8,11.8,30.1,7.4,35.9,6,73.7,2.4,3.9,8.6,11.4
west side story,20082009,0,0,28,18,0,33.8,66.2,10,11.5,15.8,24.6,26.4,11.7,8.7,9.2,12.2,13,19.6,37.4,8.8,11.8,30.1,7.4,35.9,6,73.7,2.4,3.9,8.6,11.4
pal joey,20082009,1,0,20,0,0,33.8,66.2,10,11.5,15.8,24.6,26.4,11.7,8.7,9.2,12.2,13,19.6,37.4,8.8,11.8,30.1,7.4,35.9,6,73.7,2.4,3.9,8.6,11.4
hair,20082009,8,3,15,0,1,33.8,66.2,10,11.5,15.8,24.6,26.4,11.7,8.7,9.2,12.2,13,19.6,37.4,8.8,11.8,30.1,7.4,35.9,6,73.7,2.4,3.9,8.6,11.4
shrek,20082009,4,1,25,1,0,33.8,66.2,10,11.5,15.8,24.6,26.4,11.7,8.7,9.2,12.2,13,19.6,37.4,8.8,11.8,30.1,7.4,35.9,6,73.7,2.4,3.9,8.6,11.4
Book of Mormon,20102011,13,0,14,0,0,34.9,66.1,10.4,9.1,13.8,21.9,31.2,13.7,8.6,7.9,12.5,12.7,16.7,41.6,7.9,9.8,30.4,8.4,39.3,4.3,82.5,1.5,4,5.7,6.3
Catch Me If You Can,20102011,6,0,24,1,0,34.9,66.1,10.4,9.1,13.8,21.9,31.2,13.7,8.6,7.9,12.5,12.7,16.7,41.6,7.9,9.8,30.4,8.4,39.3,4.3,82.5,1.5,4,5.7,6.3
Sister Act,20102011,9,0,21,2,0,34.9,66.1,10.4,9.1,13.8,21.9,31.2,13.7,8.6,7.9,12.5,12.7,16.7,41.6,7.9,9.8,30.4,8.4,39.3,4.3,82.5,1.5,4,5.7,6.3
The Scottsboro Boys,20102011,16,0,1,0,0,34.9,66.1,10.4,9.1,13.8,21.9,31.2,13.7,8.6,7.9,12.5,12.7,16.7,41.6,7.9,9.8,30.4,8.4,39.3,4.3,82.5,1.5,4,5.7,6.3
Anything Goes,20102011,3,3,24,0,0,34.9,66.1,10.4,9.1,13.8,21.9,31.2,13.7,8.6,7.9,12.5,12.7,16.7,41.6,7.9,9.8,30.4,8.4,39.3,4.3,82.5,1.5,4,5.7,6.3
Evita,20112012,2,0,34,3,0,32.6,67.4,9.1,11.1,16.2,22,27.7,13.9,10.1,10.2,13.4,13.6,19.3,33.3,8.5,11.7,30.2,7.2,37.8,4.6,77.8,5.4,6.5,6,4.3
Follies,20112012,4,0,33,1,0,32.6,67.4,9.1,11.1,16.2,22,27.7,13.9,10.1,10.2,13.4,13.6,19.3,33.3,8.5,11.7,30.2,7.2,37.8,4.6,77.8,5.4,6.5,6,4.3
Porgy and Bess,20112012,25,0,2,0,0,32.6,67.4,9.1,11.1,16.2,22,27.7,13.9,10.1,10.2,13.4,13.6,19.3,33.3,8.5,11.7,30.2,7.2,37.8,4.6,77.8,5.4,6.5,6,4.3
Jesus Christ Superstar,20112012,6,3,22,0,0,32.6,67.4,9.1,11.1,16.2,22,27.7,13.9,10.1,10.2,13.4,13.6,19.3,33.3,8.5,11.7,30.2,7.2,37.8,4.6,77.8,5.4,6.5,6,4.3
Once,20112012,0,0,20,0,0,32.6,67.4,9.1,11.1,16.2,22,27.7,13.9,10.1,10.2,13.4,13.6,19.3,33.3,8.5,11.7,30.2,7.2,37.8,4.6,77.8,5.4,6.5,6,4.3
Newsies,20112012,2,2,29,0,0,32.6,67.4,9.1,11.1,16.2,22,27.7,13.9,10.1,10.2,13.4,13.6,19.3,33.3,8.5,11.7,30.2,7.2,37.8,4.6,77.8,5.4,6.5,6,4.3
